Word,Chinese Translation
turn,旋转，翻转，转变，转弯 轮流，（轮流的）顺序
turning,拐弯处，拐角处
tutor,家庭教师，私人教师，导师
TV=television,电视；电视机
twelfth,第十二
twelve,十二
twentieth,第二十
twenty,二十
twenty-first,第二十一
twenty-one,二十一
twice,两次；两倍
twin,双胞胎之一
two,二
type,类型
typewriter,打字机
typhoon,台风
typical,典型的，有代表性的
typist,打字员
tyre(Am tire),轮胎
ugly,丑陋的；难看的
U.K./UK(缩)=United Kingdom,英国，联合王国
um,嗯
umbrella,雨伞
U.N./UN(缩)=the United Nations,联合国
unable,不能的，不能胜任的
unbearable,难耐的，无法接受的
uncertain,不确定的
uncle,叔；伯；舅；姑夫；姨父
uncomfortable,不舒服的
unconditional,无条件的，绝对的
unconscious,昏迷的，不省人事的
under,在...下面，向...下面
underground,地下的 地铁
understand(understood, understood),懂得；明白；理解
understanding,领会；理解
underwear,内衣
undivided,没分开的；专一的；专心的
undo,解开，松开
unemployment,失业，失业状态
unfair,不公平的，不公正的
unfit,不合宜的，不相宜的
unfold,展开，打开
unfortunate,不幸的
unfortunately,不幸地
unhappy,不高兴的，伤心的
unhealthy,不健康的，不卫生的
uniform,制服
unimportant,不重要的，无意义的
union,联合，联盟；工会
unique,唯一的，独一无二的
unit,单元，单位
unite,联合，团结
universe,宇宙
university,大学
unknown,不知道的
unless,如果不，除非
unlike,不像，和...不同
unmarried,未婚的，独身的
unpleasant,使人不愉快的
unrest,不安；骚动
unsafe,不安全的；危险的
unsuccessful,不成功的，失败的
until,直到...为止
untrue,不真实的，假的
unusual,不平常的，异常的
up,向上；在上方；起来；在...以上 向上的
upon,在...上面
upper,较高的，较上的
upset,心烦的，苦恼的
upstairs,在楼上，到楼上
upward(s),向上；往上
U.S.A./USA(缩)=the United States of America,美国（美利坚合众国）
use,利用，使用，应用
used,用过的；旧的；二手的
useful,有用的，有益的
useless,无用的
user,使用者；用户
usual,通常的，平常的
usually,通常，经常
vacation,假期，休假
vain,自负的，自视过高的，徒劳的
valley,山谷，溪谷
valuable,值钱的，贵重的
value,价值，益处
van,有篷载重汽车，运货车
vapour(Am vapor),汽，蒸气
variety,种种，种类
various,各种各样的，不同的
vase,（花）瓶；瓶饰
vast,巨大的，广阔的
VCD,影碟光盘
veal,（食用）小牛肉
vegetable,蔬菜
vehicle,交通工具
version,变体，变种，改写本
vertical,垂直的，纵向的
very,很，非常
vest,背心，内衣
victory,胜利
video,录像，视频
videophone,可视电话
view,看法，见解；风景，景色
village,村庄，乡村
villager,村民
vinegar,醋
violence,暴力行为
violent,暴力的
violin,小提琴
violinist,提琴家，提琴手
virtue,美德，正直的品行，德行
virus,病毒
visa,签证，背签
visit,参观，访问，拜访
visitor,访问者，参观者
visual,视力的，视觉的
vital,必不可少的，对...极重要的
vivid,生动的，逼真的，鲜明的
vocabulary,词汇,词汇表
voice,说话声;语态
volcano,火山
volleyball,排球
voluntary,自愿的，主动的
volunteer,志愿者
vote,选举，投票
voyage,航行，旅行
wag,摇摆
wage,工资，工钱，报酬
waist,腰，腰部，腰围
wait,等，等候
waiter,（餐厅）男服务员
waiting-room,候诊室，候车室
waitress,女服务员
wake(woke, woken),醒，醒来，叫醒
walk,步行，散步
wall,墙
wallet,（放钱、证件等的）皮夹
wander,漫游，游荡，漫步，流浪
want,想，想要；需要，必要
war,战争
ward,保卫，看护，病房，收容所
warm,暖和的，温暖的；热情的
warmth,温暖，暖和
warn,警告，预先通知
wash,洗(涤)，冲洗
washroom,盥洗室
waste,浪费
watch,观看，注视；当心，注意 手表，表
water,水 浇水
watermelon,西瓜
wave,（热、光、声等的）波，波浪 挥手，挥动，波动
wax,蜡
way,路，路线；方式，手段
we,我们
weak,差的，弱的，淡的
weakness,软弱
wealth,财产，财富
wealthy,富的
wear(wore, worn),穿，戴
weather,天气
wedding,婚礼，结婚
Wednesday,星期三
weed,杂草，野草
week,星期，周
weekday,平日
weekend,周末
weekly,每周的
weep,哭泣，流泪
weigh,称...的重量，重（若干）
weight,重，重量
welcome,欢迎 受欢迎的
welfare,幸福，福利，平安
well(better, best),好，令人满意地，完全地 好的，健康的 井
well-known,出名的，众所周知的
west,(在)西的；向西的；从西来的 西部；西方
western,西方的，西部的
westward(s),向西
wet,湿的，潮的，多雨的
whale,鲸
what,什么，怎么样 多么，何等
whatever,无论什么，不管什么
wheat,小麦
wheel,轮，机轮
when,当...的时候 什么时候，何时
whenever,每当，无论何时
where,在哪里；往哪里
wherever,无论在哪里
whether,是否
which,那(哪)一个；那(哪)一些
whichever,无论哪个，无论哪些
while,在...的时候，和...同时 一会儿，一段时间
whisper,低语，私下说
whistle,口哨，口哨声
white,白色的 白色
who,谁
whole,整个的
whom,who的宾格
whose,谁的
why,为什么
wide,宽阔的
widespread,分布广的，普遍的
wife,妻子
wild,未开发的，荒凉的；野生的，野的
wildlife,野生动物
will(would),将，会(表示将来)；愿意，要
willing,乐意的；愿意的
willingness,意愿；愿望
win(won, won),获胜，赢得
wind,风
wind(wound, wound),缠绕，连带；蜿蜒，弯曲
window,窗户；计算机的窗口
windy,有风的，多风的
wine,酒
wing,机翼，翅膀
winner,获胜者
winter,冬天，冬季
wipe,擦；擦净；擦干
wire,电线
wisdom,智慧
wise,聪明的，英明的，有见识的
wish,愿望，祝愿 希望，想要，祝愿
with,关于；带有；以；和；用；有
within,在...里面
without,没有
witness,目击者，证人
wolf(pl wolves),狼
woman(pl women),妇女，女人
wonder,对...疑惑，感到惊奇，想知道 惊讶，惊叹；奇迹
wonderful,美妙的，精彩的；了不起的；太好了
wood,木头，木材；(复)树木，森林
wooden,木制的
wool,羊毛，羊绒
woollen,羊毛的，羊毛制的
word,词，单词；话
work,工作，劳动，事情 工作；(机器等)运转，活动
worker,工人；工作者
workforce,劳动力
workmate,同事；工友
workplace,工作场所，车间
workshop,车间
world,世界
world-famous,世界闻名的
worldwide,遍及全球的，世界范围的
worm,软体虫，蠕虫（尤指蚯蚓）
worried,担心的，烦恼的
worry,使担忧，烦恼，发怒 担忧，担心
worse,更坏的
worship,崇拜，爱慕，尊敬
worst,最坏的
worth,有...的价值，值得...的
worthwhile,值得做的
worthy,值得；有价值的
would,（will的过去时）将会，打算，想要，过去常常
wound,伤，伤害 创伤，伤口
wounded,受伤的
wrestle,摔跤
wrinkle,皱纹
wrist,手腕，腕关节
write(wrote, written),写，书写；写作，著述
writing,书写，写
wrong,错误的；不正常的，有毛病的
X-ray,X射线；X光
yard,码；院子；场地
year,年
yellow,黄色 黄色的
yes,是，好，同意
yesterday,昨天
yet,尚，还，仍然
yoghurt,酸奶
you,你；你们
young,年轻的
your,你的；你们的
yours,你的；你们的（名词性物主代词）
yourself(pl yourselves),你自己
youth,青春；青年
yummy,好吃的
zebra,斑马
zero,零；零度；零点
zip,拉链
zipper,拉链
zone,区域；范围
zoo,动物园
zoom,迅速移动，急升
